Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-02-16,Buy,1508.45,66,,
2024-03-28,Sell,1497.95,66,-10.5,-693.0
2024-06-28,Buy,1491.1,67,,
2024-10-04,Sell,1798.1,67,307.0,20569.0
2025-01-16,Buy,1513.85,66,,
2025-02-12,Sell,1452.5,66,-61.34999999999991,-4049.099999999994
2025-02-27,Buy,1468.4,68,,
2025-03-06,Sell,1420.9,68,-47.5,-3230.0
2025-04-02,Buy,1560.0,64,,
