Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-04-02,Buy,720.8,138,,
2024-05-08,Sell,680.0,138,-40.799999999999955,-5630.399999999994
2024-06-11,Buy,713.5,140,,
2024-07-18,Sell,710.7,140,-2.7999999999999545,-391.99999999999363
2024-09-03,Buy,735.15,136,,
2024-10-18,Sell,689.7,136,-45.44999999999993,-6181.199999999991
2024-12-17,Buy,714.8,139,,
2025-05-22,Sell,914.0,139,199.20000000000005,27688.800000000007
2025-06-02,Buy,913.2,109,,
2025-07-14,Sell,918.95,109,5.75,626.75
