Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-03-19,Buy,354.2,282,,
2024-05-31,Sell,368.6,282,14.400000000000034,4060.8000000000097
2024-07-11,Buy,396.75,252,,
2024-10-14,Sell,429.75,252,33.0,8316.0
2025-01-06,Buy,442.5,225,,
2025-02-12,Sell,409.5,225,-33.0,-7425.0
2025-03-28,Buy,409.8,244,,
2025-06-03,Sell,416.8,244,7.0,1708.0
